,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Nick Chubb,1,CLE,13,RB,0.59,294.60,5.2,5.1,1500.5,13.0,0.25,17.39,8.3,7.7,134,1.0
Kareem Hunt,2,CLE,13,RB,0.30,149.80,4.4,4.3,643.1,5.0,0.70,48.69,7.9,7.3,355,4.0
D'Ernest Johnson,3,CLE,13,RB,0.03,14.98,4.3,4.2,62.8,0.0,0.05,3.48,7.7,7.1,25,0.0
Demetric Felton,4,CLE,13,RB,0.00,0.00,4.0,3.9,0.0,0.0,0.00,0.00,8.1,7.5,0,0.0
Baker Mayfield,,CLE,13,QB,0.11,54.93,3.2,3.1,169.9,2.0,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Cleveland REC WR,,CLE,13,WR,0.01,4.00,7.2,4.3,28.8,0.2,0.55,191.29,12.9,12.6,2458,14.0
Odell Beckham Jr.,1,CLE,13,WR,0.00,0.00,6.8,6.7,0.0,0.0,0.38,72.69,13.7,13.4,973,6.0
Jarvis Landry,2,CLE,13,WR,0.01,4.00,7.3,7.2,28.8,0.0,0.41,78.43,11.9,11.6,908,5.0
Rashard Higgins,3,CLE,13,WR,0.00,0.00,6.2,6.1,0.0,0.0,0.09,17.22,14.3,14.0,241,1.0
Donovan Peoples-Jones,4,CLE,13,WR,0.00,0.00,6.2,6.1,0.0,0.0,0.12,22.95,15.0,14.7,337,2.0
Anthony Schwartz,5,CLE,13,WR,0.00,0.00,6.2,6.1,0.0,0.0,0.00,0.00,11.7,11.4,0,0.0
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPC,REC,TDs
Cleveland Tean REC TE,,CLE,13,TE,0.00,0.00,0.0,4.3,0.0,0.0,0.25,86.95,9.6,10.8,836,8.0
Austin Hooper,1,CLE,13,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.67,58.26,10.1,9.5,553,5.0
Harrison Bryant,2,CLE,13,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.33,28.69,10.5,9.9,284,3.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Dallas Passing,,DAL,7,QB,100.00,68%,438.5,642.5,7.9,5069.0,33.23,10.00,60,274,5.00,
Dak Prescott,1,DAL,7,QB,0.98,68%,429.8,629.7,7.9,5005.1,33.00,9.00,60,274,5.00,
Cooper Rush,2,DAL,7,QB,0.02,62%,8.0,12.9,7.3,93.8,0.66,0.20,0,0,0.00,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Dallas Rushing,,DAL,7,RB,100,458.07,4.5,4.3,2100.2,20.1,0.18,78.94,6.8,7.4,536,3.0
Ezekiel Elliott,1,DAL,7,RB,0.58,265.68,4.4,4.3,1140.7,11.0,0.65,51.31,7.5,6.9,354,2.0
Tony Pollard,2,DAL,7,RB,0.27,123.68,4.7,4.6,568.1,4.0,0.35,27.63,7.2,6.6,182,1.0
JaQuan Hardy,3,DAL,7,RB,0.02,9.16,4.2,4.1,37.5,0.0,0.00,0.00,7.5,6.9,0,0.0
Corey Clement,4,DAL,7,RB,0.00,0.00,4.0,3.9,0.0,0.0,0.00,0.00,6.8,6.2,0,0.0
Dak Prescott,,DAL,7,QB,0.13,59.55,4.7,4.6,273.5,5.0,,,,,,
,,,,,,,,,,,,,,,,
